AAPL,TXN,QCOM,INTC,HON,GOOG,AVGO,DUK,CMS
0.929103488,0.963625072,0.834869315,0.913135642,0.979869931,0.949029832,0.926059279,0.972192251,0.971428742
0.940162998,0.967529758,0.84924451,0.934322189,1,0.962727799,0.911544074,1,1
0.916647238,0.968968311,0.867305625,0.928495865,0.987286306,0.962055014,0.922399481,0.934024031,0.920346487
0.942956828,0.967118804,0.796535326,0.919491733,0.966732685,0.96829831,0.922089208,0.880043758,0.889177566
0.973573879,0.969379408,0.797641039,0.957627169,0.960164051,0.976883213,0.926307458,0.920392622,0.890043281
0.981722854,0.997944945,0.830446056,0.978813717,0.990252805,1,0.968240213,0.898582693,0.87705644
0.995809081,0.997122914,0.779211255,0.9830509,0.992583625,0.982453724,0.961540957,0.905670917,0.858008732
1,1,0.720973209,0.978813717,0.96355442,0.962458749,1,0.824427824,0.783549765
0.983352656,0.988491615,0.694802952,0.959745867,0.950205069,0.980166321,0.975870081,0.859869162,0.790476345
0.976833472,0.964036169,0.437891718,1,0.959528415,0.961597402,0.888220396,0.862050243,0.789610371
0.956460948,0.954993773,0.387025476,0.979343272,0.949357328,0.96138223,0.886917803,0.823882459,0.785281453
0.905355027,0.961981114,0.296719495,0.914724784,0.933041817,0.937538784,0.915576045,0.848418833,0.811255395
0.891152444,0.949034053,0.431256996,0.855402588,0.943212565,0.938803539,0.898951809,0.837513869,0.761904741
0.916181476,0.978627189,0.427939634,0.85699173,0.976267796,0.944616492,0.847279968,0.828789548,0.796536952
0.889173423,0.950883703,0.399557729,0.695444899,0.968639635,0.818913361,0.790583736,0.796619639,0.774025954
0.846449353,0.944101911,0.401032149,0.665254273,0.971818217,0.820985589,0.803362175,0.817884584,0.77662353
0.780791629,0.956843424,0.416144572,0.674258616,0.974572612,0.813477208,0.814899835,0.830970628,0.815584313
0.769150187,0.952116687,0.384445306,0.667902737,0.97033482,0.80785282,0.793747368,0.806434254,0.79740258
0.777182806,0.930949425,0.333947733,0.646716189,0.9582571,0.861002802,0.793561281,0.827699199,0.794805264
0.766356171,0.895396547,0.343899854,0.628707713,0.921599416,0.850911033,0.793871361,0.823337039,0.795670978
0.76728751,0.894985594,0.340951014,0.63718229,0.917785494,0.873408912,0.792072509,0.779171435,0.762770715
0.764144274,0.912248171,0.348322965,0.612817935,0.917573411,0.871713482,0.783512214,0.80479854,0.762770715
0.808148914,0.911426264,0.347217215,0.611228793,0.924354128,0.871229096,0.808634745,0.784078524,0.728138591
0.816414408,0.898273633,0.363435389,0.606461844,0.916302096,0.864985636,0.816636786,0.765540025,0.73939409
0.809546004,0.87833954,0.370070111,0.581038166,0.912488175,0.860007094,0.821475184,0.77535464,0.754978507
0.775902235,0.88347723,0.411352792,0.586864438,0.902529193,0.863828465,0.831772244,0.743729661,0.722943612
0.764377149,0.873407234,0.402137899,0.605402733,0.915030803,0.819020947,0.804416688,0.711014386,0.692640753
0.770779977,0.856966728,0.365647,0.616525562,0.921175863,0.830862021,0.807083973,0.658124462,0.647619104
0.763212935,0.852239971,0.351271804,0.604343358,0.921599416,0.835948312,0.802865915,0.648309792,0.6320346
0.762514472,0.847924332,0.346111317,0.599046642,0.909945567,0.811916466,0.790025477,0.629225928,0.651948022
0.756228175,0.834566317,0.331736122,0.588983135,0.898927058,0.762722379,0.77966633,0.639040543,0.648485078
0.757275858,0.823263481,0.333947733,0.591101832,0.901469665,0.779165194,0.764158606,0.605234483,0.603463342
0.735040668,0.817303761,0.32878743,0.573093357,0.901257899,0.767001362,0.770175609,0.633042723,0.642424125
0.74668211,0.817098192,0.327313011,0.522245949,0.881763785,0.782717516,0.783015955,0.609051278,0.633766289
0.738882367,0.817303761,0.32399565,0.509004423,0.857184158,0.756855717,0.785497246,0.627590213,0.636363518
0.742491179,0.80004104,0.316623699,0.4936442,0.835783093,0.743373087,0.770857955,0.610142009,0.62597408
0.732712415,0.777229675,0.301142754,0.489936573,0.849979867,0.690546028,0.750325741,0.658124462,0.68744586
0.74377175,0.773119585,0.319203869,0.473517027,0.862057607,0.680077462,0.739408248,0.675572612,0.701298589
0.731082613,0.788943609,0.336527903,0.474576349,0.881975571,0.700422624,0.762545834,0.627044848,0.646753389
0.700931324,0.743321044,0.334316292,0.475635724,0.863117135,0.71097184,0.769617356,0.676663397,0.697835645
0.71653081,0.738799856,0.33247335,0.468750078,0.817136422,0.708630564,0.785311166,0.678844041,0.698701359
0.733992973,0.758939519,0.344268376,0.477224655,0.797218458,0.682338091,0.827802273,0.721374367,0.726406903
0.765192132,0.74517053,0.342425434,0.46504245,0.795523273,0.664011444,0.828174533,0.725736145,0.747186298
0.79615824,0.71845448,0.340213823,0.46504245,0.822645528,0.678247507,0.832702763,0.79334821,0.767965348
0.795459777,0.686600904,0.314043566,0.437500076,0.785776396,0.691218812,0.810371604,0.804253174,0.76969695
0.809546004,0.674475873,0.296719495,0.429555266,0.800396723,0.718076486,0.80596746,0.764449294,0.7359308
