AMD,SYK,SMCI,AAPL,MSFT,IBM,HPE,GOOG,AVGO
0.714285714,0.89546746,0.063348408,0.981722854,0.980902435,0.488455639,0.837740427,0.96829831,0.922089208
0.704562453,0.992241691,0.034259789,0.995809081,0.986991364,0.506240336,0.840295696,0.976883213,0.926307458
0.691099476,0.963658556,0.0471881,1,1,0.526053191,0.817298276,1,0.968240213
0.694839192,0.931808864,0.050420097,0.983352656,0.991973401,0.522621038,0.821131179,0.982453724,0.961540957
0.692595363,0.959983587,0.095669024,0.976833472,0.997509078,0.514664563,0.828796986,0.962458749,1
0.705310396,0.949775339,0.082740713,0.956460948,0.988375338,0.526209119,0.812187738,0.980166321,0.975870081
0.694839192,0.971825195,0.082740713,0.905355027,0.985884444,0.553822286,0.828796986,0.961597402,0.888220396
0.738967838,1,0.082740713,0.891152444,0.961804648,0.564430602,0.824964083,0.96138223,0.886917803
0.764397906,0.871784325,0.056884285,0.916181476,0.961804648,0.564898605,0.865848384,0.937538784,0.915576045
0.755422588,0.843201272,0.053652223,0.889173423,0.981455881,0.569578839,0.873514191,0.938803539,0.898951809
0.694839192,0.859942799,0.0943762,0.846449353,0.979241626,0.55897029,0.911843224,0.944616492,0.847279968
0.674644727,0.848917891,0.173238568,0.780791629,0.839468687,0.557722442,0.908010321,0.818913361,0.790583736
0.670905011,0.838301313,0.182934689,0.769150187,0.835870431,0.556162286,0.886290535,0.820985589,0.803362175
0.685115931,0.861576078,0.221719493,0.777182806,0.842236443,0.59329185,0.915676127,0.813477208,0.814899835
0.6776365,0.85218453,0.22495149,0.766356171,0.841406136,0.65054611,0.908010321,0.80785282,0.793747368
0.748691099,0.864434469,0.218487367,0.76728751,0.840852468,0.689859746,0.881179998,0.861002802,0.793561281
0.761406133,0.8558595,0.179702562,0.764144274,0.815942586,0.671606812,0.858182578,0.850911033,0.793871361
0.785340314,0.856676159,0.195862871,0.808148914,0.807639153,0.650234035,0.96550387,0.873408912,0.792072509
0.9289454,0.8558595,0.199094997,0.816414408,0.807085458,0.447581832,0.95400516,0.871713482,0.783512214
0.917726253,0.858309438,0.221719493,0.809546004,0.808746294,0.452106154,0.985946021,0.871229096,0.808634745
0.896035901,0.857901108,0.231415613,0.775902235,0.804317731,0.456318385,0.989778925,0.864985636,0.816636786
0.906507105,0.856676159,0.22495149,0.764377149,0.794077071,0.455226232,0.978280215,0.860007094,0.821475184
0.915482423,0.85340952,0.221719493,0.770779977,0.774702451,0.464430538,0.996167097,0.863828465,0.831772244
0.922213912,0.861167829,0.228183487,0.763212935,0.771104416,0.478159165,0.998722366,0.819020947,0.804416688
0.929693343,0.837892943,0.237879801,0.762514472,0.771104416,0.460842456,0.978280215,0.830862021,0.807083973
0.926701571,0.861984407,0.241111798,0.756228175,0.763077817,0.446645842,0.978280215,0.835948312,0.802865915
0.925205684,0.850551252,0.254040109,0.757275858,0.76224751,0.450390069,0.982113118,0.811916466,0.790025477
0.901271503,0.859942799,0.257272106,0.735040668,0.726819913,0.446645842,0.978280215,0.762722379,0.77966633
0.887808527,0.828501395,0.241111798,0.74668211,0.714918445,0.451326076,0.964226236,0.779165194,0.764158606
0.870605834,0.813393229,0.273432415,0.738882367,0.724605659,0.449454079,1,0.767001362,0.770175609
0.852655198,0.785218424,0.199094997,0.742491179,0.721284236,0.424805061,0.966781505,0.782717516,0.783015955
0.860882573,0.816659869,0.18616675,0.732712415,0.704124119,0.433853455,0.948894623,0.756855717,0.785497246
0.858638743,0.859534469,0.212023179,0.74377175,0.703570424,0.433853455,0.984668387,0.743373087,0.770857955
0.866866118,0.770518548,0.170006442,0.731082613,0.687240614,0.447893923,0.989778925,0.690546028,0.750325741
0.813762154,0.740710464,0.147381946,0.700931324,0.687240614,0.437129445,0.96550387,0.680077462,0.739408248
0.816753927,0.75745199,0.189398877,0.71653081,0.719070175,0.425585139,0.909287955,0.700422624,0.762545834
0.816005984,0.746835413,0.140917952,0.733992973,0.713534471,0.427613064,0.849239137,0.71097184,0.769617356
0.816005984,0.782768486,0.118293456,0.765192132,0.733739371,0.437285607,0.828796986,0.708630564,0.785311166
0.794315632,0.784401765,0.127989641,0.79615824,0.747578287,0.414040584,0.810910104,0.682338091,0.827802273
0.806282723,0.768476898,0.140917952,0.795459777,0.739828549,0.416536746,0.817298276,0.664011444,0.828174533
0.8578908,0.728460607,0.279896538,0.809546004,0.743980058,0.420748977,0.814743007,0.678247507,0.832702763
0.866118175,0.692935864,0.40271488,0.790919626,0.729034001,0.431981208,0.808354835,0.691218812,0.810371604
0.890800299,0.688035864,0.422107185,0.806868344,0.741212302,0.439001676,0.777691608,0.718076486,0.80596746
0.844427823,0.688852565,0.435035496,0.820954571,0.726543079,0.435413377,0.76363763,0.709949194,0.811550203
0.841436051,0.683952647,0.447963808,0.828405082,0.728757361,0.421372908,0.793023222,0.701902718,0.815272094
0.799551234,0.675377678,0.435035496,0.794994201,0.70716868,0.383775341,0.76363763,0.694959535,0.792754855
0.780104712,0.694977473,0.464124116,0.825611078,0.717132506,0.390795576,0.780246877,0.720390825,0.807890406
0.777112939,0.701102503,0.489980544,0.83317812,0.69111551,0.405148353,0.846683868,0.698484921,0.825445161
0.783096485,0.698652442,0.486748418,0.835157142,0.696927827,0.392979647,0.881179998,0.700207287,0.823398129
0.801795064,0.698652442,0.499676729,0.858090795,0.706061539,0.409204437,0.915676127,0.724131547,0.846225455
0.779356769,0.703960812,0.491919717,0.857508688,0.729034001,0.392823735,0.877457099,0.729486886,0.842131484
0.807778609,0.70886069,0.44149962,0.84994182,0.707998987,0.385491426,0.869527588,0.703221349,0.804602774
0.824981301,0.70926906,0.528765349,0.844819562,0.681428297,0.394539803,0.863580456,0.680938645,0.777991471
0.82946896,0.696610833,0.538461469,0.82805585,0.675339146,0.384711348,0.850695129,0.660808984,0.787420192
0.849663426,0.696610833,0.548157654,0.809313128,0.675062312,0.403900272,0.86655415,0.666406598,0.801935396
0.835452506,0.669252729,0.535229343,0.802444712,0.67146425,0.391419725,0.86655415,0.680911871,0.860616666
0.810770381,0.673336069,0.522301161,0.810710043,0.672294557,0.378939179,0.842765746,0.696305104,0.872216505
0.771877337,0.66639442,0.493212606,0.80838179,0.684472886,0.361310411,0.838800991,0.69008858,0.861485092
0.777860883,0.67006943,0.473820236,0.778463376,0.656518221,0.350702096,0.80311845,0.641567278,0.826933841
0.792819746,0.630869717,0.499676729,0.781839313,0.665928573,0.340873625,0.790232996,0.65235877,0.825383068
0.798055348,0.654144481,0.509372914,0.786030244,0.663437679,0.356474249,0.802127261,0.653193014,0.810371604
0.796559461,0.677827616,0.525533222,0.822002254,0.698034968,0.384555419,0.831862797,0.696197518,0.850505599
0.773373224,0.692935864,0.535229343,0.829569296,0.686133473,0.37784726,0.846730502,0.683441385,0.852180458
0.764397906,0.704369142,0.538461469,0.809196772,0.696374132,0.381747416,0.829880292,0.68465243,0.834935882
0.788332087,0.648019573,0.506140852,0.781606437,0.666205406,0.374258945,0.802127261,0.66236989,0.793127022
0.786088257,0.642302955,0.486748418,0.75646105,0.636036681,0.374258945,0.784285863,0.643128184,0.771664388
0.807778609,0.653736151,0.502908726,0.823282824,0.665375099,0.373167026,0.835827425,0.685271502,0.824142469
0.836948392,0.66108609,0.499676729,0.811874257,0.674232005,0.378471192,0.834836236,0.695739906,0.837727254
0.81750187,0.700694173,0.515837037,0.797089579,0.663437679,0.399688041,0.834836236,0.70265615,0.844426596
0.777860883,0.7652103,0.522301161,0.7689173,0.671187416,0.426053142,0.822942098,0.698888656,0.824142469
0.769633508,0.732135495,0.519069034,0.759371411,0.656518221,0.422620974,0.801136073,0.687289855,0.831089898
0.822737472,0.664352729,0.51260504,0.777648382,0.659562782,0.41497659,0.807083205,0.705428104,0.850133432
0.84367988,0.485912598,0.522301161,0.695110602,0.668419688,0.428237214,0.826906853,0.70661221,0.819304065
0.867614061,0.445896307,0.506140852,0.679743817,0.67174089,0.418408743,0.822942098,0.705724088,0.808572752
