AMZN,ANSS,WMT,GOOG,FB,EPAM,BLKB,BABA,AAPL
0.98869077,0.984859333,0.76336702,0.962055014,0.953200194,0.971520469,0.951380784,0.968969813,0.973573879
1,0.976432022,0.761447635,0.96829831,0.949470683,0.980728179,0.942434867,0.983586126,0.981722854
0.983822079,0.979145949,0.744447498,0.976883213,0.959576505,0.970877921,0.923376076,0.973581443,0.995809081
0.999313096,0.993572389,0.743350679,1,0.962704453,0.984796594,0.948658127,0.979599804,1
0.987607224,1,0.707430609,0.982453724,0.971005728,0.936402694,0.927654587,1,0.983352656
0.981777018,0.989572975,0.700575659,0.962458749,0.97004324,0.919700209,0.949047023,0.994763178,0.976833472
0.987546116,0.959577386,0.727447142,0.980166321,0.955004742,0.913704513,0.962660481,0.958574424,0.956460948
0.993269385,0.953578057,0.703317804,0.961597402,0.955004742,0.902569694,0.931933097,0.971080216,0.905355027
0.978449995,0.766747777,0.679736751,0.96138223,1,0.719700282,0.932127633,0.981006776,0.891152444
0.974619205,0.78260267,0.66246217,0.937538784,0.968719852,0.731263473,0.9788021,0.971705517,0.916181476
0.960791701,0.769604469,0.652591016,0.938803539,0.966433964,0.730621096,0.978218552,0.945834037,0.889173423
0.934266253,0.769318738,0.686043195,0.944616492,0.942492796,0.726980711,1,0.903392204,0.846449353
0.948704277,0.741608366,0.69838224,0.818913361,0.855269507,0.71391859,0.891676406,0.857824068,0.780791629
0.951146167,0.727467671,0.694543469,0.820985589,0.854908595,0.721413365,0.780824651,0.857042405,0.769150187
0.959647047,0.71689768,0.680833571,0.813477208,0.869345517,0.723768847,0.788603609,0.884242625,0.777182806
0.944537581,0.70418521,0.699204807,0.80785282,0.862969206,0.726980711,0.806301062,0.879787474,0.766356171
0.748389796,0.700185795,0.666026853,0.861002802,0.907603372,0.736830968,0.817386243,0.912537217,0.76728751
0.749122344,0.685187894,0.637510265,0.850911033,0.902550461,0.718201352,0.791520781,0.917304968,0.764144274
0.753685774,0.680474267,0.632574674,0.873408912,0.920235746,0.718201352,0.796966114,0.930436186,0.808148914
0.739034152,0.682331201,0.625993978,0.871713482,0.921198234,0.726980711,0.787436787,0.896904889,0.816414408
0.764384392,0.705470697,0.61941309,0.871229096,0.902069301,0.731263473,0.804356332,0.930045354,0.809546004
0.770031369,0.68590212,0.643542648,0.864985636,0.89268529,0.727194886,0.772851022,0.921369404,0.775902235
