AVGO,SYK,SWKS,SUI,SAP,QCOM,MHK,KB,ELS,ATVI,ANTM,AAPL
0.964890489,0.937342893,0.900297642,0.990258616,0.911864542,0.867305625,0.940375168,0.889426177,1,0.933228055,0.976560316,0.973573879
0.966441261,0.917399365,0.902116442,0.96506547,0.916836136,0.796535326,0.930659317,0.901353933,0.956123539,0.916929449,0.974727548,0.981722854
0.926059279,0.951004873,0.913855842,0.968424489,0.917966147,0.797641039,0.936970385,0.906189555,0.970622013,0.925078791,0.952638149,0.995809081
0.911544074,0.948492499,0.947420638,0.985891905,0.96225991,0.830446056,0.927586779,0.92198588,0.966806447,0.957676107,0.961223072,1
0.922399481,0.944723561,0.915013233,0.978837589,0.953672407,0.779211255,0.906327871,0.91457118,0.953834451,0.863301667,0.967010726,0.983352656
0.922089208,0.935772447,1,0.982196877,0.971073469,0.720973209,0.903836441,0.947775661,0.962991147,0.860935737,0.955724934,0.976833472
0.926307458,0.944095295,0.948082014,0.953308702,0.969265695,0.694802952,0.876515335,0.977433881,0.974437313,0.922187099,0.912317969,0.956460948
0.968240213,0.925879389,0.924437836,0.921061508,0.983050847,0.437891718,0.88033548,0.971953611,0.943914458,0.981335254,0.900646251,0.905355027
0.961540957,0.916614142,0.917162671,0.917030537,1,0.387025476,0.919033392,0.958091586,0.938191413,0.978180811,0.890421528,0.891152444
1,0.923523721,0.959160039,0.888478338,0.953220339,0.296719495,0.913303431,0.943907092,0.920259554,0.982386805,0.887334887,0.916181476
0.975870081,0.931375479,0.928406056,0.879744646,0.944180927,0.431256996,0.923268394,0.946808446,0.892789084,0.977392194,0.889746385,0.889173423
0.888220396,1,0.860780466,0.882096007,0.952090508,0.427939634,0.934728325,0.945196615,0.90576108,0.946897875,0.907880745,0.846449353
0.886917803,0.828517638,0.821263157,0.867315927,0.935141356,0.399557729,0.923434645,0.926821406,0.889355127,0.892218647,0.865149076,0.780791629
0.915576045,0.8498742,0.805555535,0.866980219,0.920678079,0.401032149,0.92484623,0.943907092,0.87829061,0.885646618,0.853573914,0.769150187
0.898951809,0.842179618,0.816137529,0.876721603,0.910282621,0.416144572,0.952748701,0.910380432,0.89507821,0.909831658,0.752676768,0.777182806
0.847279968,0.845791364,0.808862364,0.838763761,0.910734531,0.384445306,0.933067629,0.875241812,0.863029487,0.876445725,0.756438695,0.766356171
0.790583736,0.854742478,0.815145515,0.860933831,0.904180836,0.333947733,0.936223035,0.869439104,0.87867222,0.907202873,0.747275031,0.76728751
