INTC,ORCL,MSI,MSFT,IBM,HON,CSCO,AMD,AAPL
0.869173881,0.799554666,0.902757219,0.962358121,0.487831474,0.990676675,0.998506274,0.704562453,0.940162998
0.92319936,0.77839648,0.885561785,0.956269164,0.456318385,0.979869931,0.866318093,0.691099476,0.916647238
0.913135642,0.799554666,0.90423946,0.985884444,0.484243393,1,0.861090312,0.694839192,0.942956828
0.934322189,0.81069058,0.914616158,0.982563021,0.476599009,0.987286306,0.854368879,0.692595363,0.973573879
0.928495865,0.806236125,0.905721909,0.980902435,0.488455639,0.966732685,0.857356257,0.705310396,0.981722854
0.919491733,0.801781893,0.921731426,0.986991364,0.506240336,0.960164051,0.861836989,0.694839192,0.995809081
0.957627169,0.874164915,0.952861073,1,0.526053191,0.990252805,0.895444228,0.738967838,1
0.978813717,0.871381006,0.936555025,0.991973401,0.522621038,0.992583625,0.887976118,0.764397906,0.983352656
0.9830509,0.86636987,0.946042099,0.997509078,0.514664563,0.96355442,0.888722795,0.755422588,0.976833472
0.978813717,0.854120315,1,0.988375338,0.526209119,0.950205069,0.893203825,0.694839192,0.956460948
0.959745867,0.859688188,0.874592262,0.985884444,0.553822286,0.959528415,0.873786203,0.674644727,0.905355027
1,0.879732733,0.890601779,0.961804648,0.564430602,0.949357328,0.904406064,0.670905011,0.891152444
0.979343272,0.894209515,0.890008924,0.961804648,0.564898605,0.933041817,0.869305471,0.685115931,0.916181476
0.914724784,0.88195996,0.884968959,0.981455881,0.569578839,0.943212565,0.861090312,0.6776365,0.889173423
0.855402588,0.893095874,0.909279632,0.979241626,0.55897029,0.976267796,0.890216447,0.748691099,0.846449353
0.85699173,0.852450047,0.882300593,0.839468687,0.557722442,0.968639635,0.878267233,0.761406133,0.780791629
0.695444899,0.827394311,0.875481856,0.835870431,0.556162286,0.971818217,0.880507635,0.785340314,0.769150187
0.665254273,0.842984457,0.880818352,0.842236443,0.59329185,0.974572612,0.901418984,0.9289454,0.777182806
0.674258616,0.805679388,0.872220634,0.841406136,0.65054611,0.97033482,0.88424169,0.917726253,0.766356171
0.667902737,0.802338575,0.873999407,0.840852468,0.689859746,0.9582571,0.876773581,0.896035901,0.76728751
0.646716189,0.807906392,0.863622947,0.815942586,0.671606812,0.921599416,0.839432287,0.906507105,0.764144274
0.628707713,0.820712852,0.847020338,0.807639153,0.650234035,0.917785494,0.824495695,0.915482423,0.808148914
0.63718229,0.798997762,0.840794456,0.807085458,0.447581832,0.917573411,0.828229749,0.922213912,0.816414408
0.612817935,0.780623707,0.85502523,0.808746294,0.452106154,0.924354128,0.823749018,0.929693343,0.809546004
0.611228793,0.766703885,0.871924103,0.804317731,0.456318385,0.916302096,0.818521237,0.926701571,0.775902235
0.606461844,0.745545699,0.868070056,0.794077071,0.455226232,0.912488175,0.802837669,0.925205684,0.764377149
0.581038166,0.748329607,0.85206054,0.774702451,0.464430538,0.902529193,0.827483073,0.901271503,0.770779977
0.586864438,0.744432057,0.846724044,0.771104416,0.478159165,0.915030803,0.824495695,0.887808527,0.763212935
0.605402733,0.752784062,0.847316869,0.771104416,0.460842456,0.921175863,0.840178963,0.870605834,0.762514472
0.616525562,0.755011289,0.857397035,0.763077817,0.446645842,0.921599416,0.839432287,0.852655198,0.756228175
0.604343358,0.783407616,0.755410614,0.76224751,0.450390069,0.909945567,0.827483073,0.860882573,0.757275858
0.599046642,0.782850934,0.744737593,0.726819913,0.446645842,0.898927058,0.81628061,0.858638743,0.735040668
0.588983135,0.771158116,0.746220042,0.714918445,0.451326076,0.901469665,0.846900396,0.866866118,0.74668211
0.591101832,0.777282838,0.750666943,0.724605659,0.449454079,0.901257899,0.839432287,0.813762154,0.738882367
0.573093357,0.752227102,0.721909369,0.721284236,0.424805061,0.881763785,0.830470451,0.816753927,0.742491179
0.522245949,0.737193916,0.686925645,0.704124119,0.433853455,0.857184158,0.809559102,0.816005984,0.732712415
0.509004423,0.741648148,0.699080878,0.703570424,0.433853455,0.835783093,0.819267988,0.816005984,0.74377175
0.4936442,0.728285007,0.667061874,0.687240614,0.447893923,0.849979867,0.840178963,0.794315632,0.731082613
0.489936573,0.731069139,0.681292618,0.687240614,0.437129445,0.862057607,0.837191884,0.806282723,0.700931324
0.473517027,0.741648148,0.704713934,0.719070175,0.425585139,0.881975571,0.811052829,0.8578908,0.71653081
0.474576349,0.731069139,0.725466884,0.713534471,0.427613064,0.863117135,0.761015644,0.866118175,0.733992973
0.475635724,0.731069139,0.745034154,0.733739371,0.437285607,0.817136422,0.753547162,0.890800299,0.765192132
0.468750078,0.734966689,0.750666943,0.747578287,0.414040584,0.797218458,0.745332376,0.844427823,0.79615824
0.477224655,0.751113739,0.73999416,0.739828549,0.416536746,0.795523273,0.747572704,0.841436051,0.795459777
0.46504245,0.773942248,0.73999416,0.743980058,0.420748977,0.822645528,0.741598022,0.799551234,0.809546004
0.46504245,0.999443318,0.713311651,0.729034001,0.431981208,0.785776396,0.722927375,0.780104712,0.790919626
0.437500076,1,0.754521227,0.741212302,0.439001676,0.800396723,0.722180624,0.777112939,0.806868344
0.429555266,0.998329677,0.80699668,0.726543079,0.435413377,0.816924339,0.739357619,0.783096485,0.820954571
0.416843295,0.982739587,0.785354343,0.728757361,0.421372908,0.823705056,0.722927375,0.801795064,0.828405082
0.399894142,0.932071433,0.729321168,0.70716868,0.383775341,0.793404536,0.669902813,0.779356769,0.794994201
0.369173748,0.940423215,0.765787074,0.717132506,0.390795576,0.783021684,0.690813937,0.807778609,0.825611078
0.387711991,0.900334014,0.747109428,0.69111551,0.405148353,0.771791388,0.699029096,0.824981301,0.83317812
0.399364375,0.895879783,0.774977883,0.696927827,0.392979647,0.770943647,0.68035845,0.82946896,0.835157142
0.360169564,0.878619147,0.810850964,0.706061539,0.409204437,0.794675851,0.73114246,0.849663426,0.858090795
0.363877191,0.86247232,0.818262763,0.729034001,0.392823735,0.808236967,0.724421027,0.835452506,0.857508688
0.362817869,0.832962129,0.804625082,0.707998987,0.385491426,0.8033632,0.707990932,0.810770381,0.84994182
0.353283917,0.813474489,0.783279039,0.681428297,0.394539803,0.794675851,0.669902813,0.771877337,0.844819562
0.344809393,0.801781893,0.79395206,0.675339146,0.384711348,0.778571787,0.674383843,0.777860883,0.82805585
0.340572211,0.801781893,0.781500059,0.675062312,0.403900272,0.777512577,0.666915584,0.792819746,0.809313128
0.341631321,0.798997762,0.770530744,0.67146425,0.391419725,0.771579283,0.651978991,0.798055348,0.802444712
0.343750018,0.792316302,0.761636496,0.672294557,0.378939179,0.76882491,0.628080563,0.796559461,0.810710043
0.341101766,0.802895256,0.767566084,0.684472886,0.361310411,0.779207444,0.654219469,0.773373224,0.80838179
0.340572211,0.782850934,0.790987163,0.656518221,0.350702096,0.75102598,0.610156742,0.764397906,0.778463376
0.354872847,0.767260566,0.796027364,0.665928573,0.340873625,0.737888415,0.587005215,0.788332087,0.781839313
0.359639797,0.763363016,0.788911859,0.663437679,0.356474249,0.756958956,0.637042549,0.786088257,0.786030244
0.368114373,0.802338575,0.820338037,0.698034968,0.384555419,0.804210962,0.734129838,0.807778609,0.822002254
0.402012839,0.778953384,0.812333175,0.686133473,0.37784726,0.790225954,0.715459191,0.836948392,0.829569296
0.412076346,0.780066747,0.83249327,0.696374132,0.381747416,0.808236967,0.696788544,0.81750187,0.809196772
0.430084822,0.746102603,0.799288556,0.666205406,0.374258945,0.77263881,0.669155912,0.777860883,0.781606437
0.405190699,0.738307279,0.784761281,0.636036681,0.374258945,0.786412032,0.63405517,0.769633508,0.75646105
0.419491548,0.791759565,0.829825141,0.665375099,0.373167026,0.823705056,0.68035845,0.822737472,0.823282824
0.443326348,0.79398657,0.831900445,0.674232005,0.378471192,0.816712552,0.684092504,0.84367988,0.811874257
0.433792449,0.824053442,0.850281559,0.663437679,0.399688041,0.822857633,0.696788544,0.867614061,0.797089579
0.434851771,0.841870815,0.884968959,0.671187416,0.426053142,0.845741757,0.693801166,0.844427823,0.7689173
0.427966124,0.856904279,0.885858346,0.656518221,0.422620974,0.835571009,0.675877345,0.853403141,0.759371411
0.438029843,0.831291806,0.886747702,0.659562782,0.41497659,0.817772079,0.672890116,0.863126402,0.777648382
0.4459746,0.853006729,0.931811355,0.668419688,0.428237214,0.781538286,0.682598852,0.88855647,0.695110602
0.430614377,0.840200492,0.894159502,0.67174089,0.418408743,0.762679828,0.66766241,0.881077038,0.679743817
0.384004364,0.860801774,0.903943137,0.681151463,0.412480428,0.776876602,0.672890116,0.906507105,0.688707774
0.375529787,0.869153779,0.939519686,0.684472886,0.424649133,0.780902629,0.676624245,0.919222139,0.70104768
0.357521311,0.909242701,0.928550133,0.709106128,0.42917322,0.81289863,0.683345678,0.967090501,0.734807967
0.345868715,0.909242701,0.915208983,0.712980997,0.442121754,0.786623819,0.717699594,0.918474196,0.726426105
0.341631321,0.886414192,0.893862971,0.696650966,0.439001676,0.796371035,0.698282271,0.922213912,0.718859063
0.332627189,0.888641419,0.889415861,0.701909837,0.45600631,0.767553595,0.696788544,0.901271503,0.697671731
0.344809393,0.907015696,0.872813489,0.713811304,0.465054703,0.737888415,0.698282271,0.895287958,0.698486539
0.345868715,0.899777333,0.867476994,0.703847285,0.463026544,0.763315486,0.701269499,0.876589379,0.706402813
0.335805208,0.869153779,0.828046161,0.688347755,0.563962599,0.742973948,0.67214329,0.871353777,0.695459834
0.334216119,0.868596875,0.823006196,0.689731508,0.548517902,0.744457049,0.671396464,0.895287958,0.689406237
0.331038259,0.875278501,0.832789831,0.673955172,0.567706826,0.756535086,0.665421857,0.904263276,0.683352629
0.342161088,0.863585683,0.824488645,0.646000506,0.558190446,0.745940447,0.654219469,0.875093493,0.668568126
0.318856108,0.869153779,0.833975749,0.628840389,0.559282364,0.734074493,0.646004384,0.931937173,0.644936009
0.319385663,0.837416583,0.80432855,0.596733994,0.551326124,0.722420327,0.640776603,0.902019447,0.642491237
0.301906743,0.822939857,0.791876757,0.596457354,0.554914205,0.732379309,0.632561519,0.896035901,0.637019747
0.287606106,0.807906392,0.794248384,0.582064771,0.547425968,0.720301272,0.626586912,0.862378459,0.62677522
0.299788257,0.780066747,0.754224696,0.557431528,0.53837759,0.704409313,0.613143971,0.836948392,0.609895163
0.286546731,0.81403117,0.780017848,0.571547278,0.558814361,0.713520872,0.64227033,0.849663426,0.625727525
0.324152613,0.808463352,0.775570709,0.54636034,0.588611616,0.711613922,0.658700424,0.771877337,0.61885912
0.277542388,0.851893088,0.777349481,0.567395548,0.561310524,0.702714128,0.656459872,0.796559461,0.624912717
0.292373056,0.855233956,0.779128461,0.555217246,0.565990758,0.682160825,0.664675031,0.805534779,0.620954498
0.281779782,0.89253897,0.818559057,0.591475344,0.584555532,0.717123007,0.714712515,0.852655198,0.645983704
0.316737411,0.88585751,0.806403824,0.575145313,0.575663067,0.695085988,0.690813937,0.865370232,0.621536605
0.287606106,0.891982288,0.827156774,0.61168005,0.583151304,0.723267771,0.726661729,0.916230366,0.645867348
0.309851764,0.896993424,0.833679188,0.630500976,0.565678683,0.717546877,0.715459191,0.922961855,0.651222318
0.316207644,0.860801774,0.795730833,0.604207119,0.570202755,0.719242062,0.69753537,0.938668661,0.643655451
0.325211988,0.639755158,0.762525882,0.604483759,0.560686358,0.723055984,0.696788544,0.908750935,0.64644928
0.336864584,0.612472194,0.747702283,0.594519933,0.578783145,0.737040992,0.69753537,0.808526552,0.63643764
0.35169504,0.606347473,0.761339964,0.621090624,0.57706706,0.756746852,0.707990932,0.755422588,0.65192077
0.386122849,0.570712727,0.717462229,0.597010827,0.585491538,0.731108016,0.681105126,0.718773373,0.604540193
0.37023307,0.547884218,0.709457367,0.5942431,0.567394751,0.727717646,0.677371071,0.723261032,0.628055778
0.375529787,0.555122581,0.721909369,0.604483759,0.560998449,0.722844197,0.678864723,0.743455497,0.638183961
0.387182224,0.564588005,0.756596531,0.615001473,0.567862755,0.726022462,0.686333057,0.757666417,0.65483113
0.405720466,0.557349586,0.758671835,0.590921677,0.582371226,0.702078492,0.652725817,0.767389678,0.641210666
0.397775498,0.567371914,0.760450578,0.605867734,0.565522755,0.713308767,0.661687803,0.781600598,0.682654178
0.396716123,0.589086781,0.774681352,0.650982516,0.534321506,0.708223553,0.679611624,0.827973074,0.752619351
0.437500076,0.587973418,0.760747109,0.663160817,0.516848651,0.690636409,0.679611624,0.78908003,0.757042982
0.425847427,0.599666013,0.798695494,0.66675888,0.538533503,0.691060279,0.675877345,0.762902019,0.746332879
0.418961993,0.616926426,0.794248384,0.660116256,0.539157668,0.706952238,0.690813937,0.70381451,0.740279282
0.430084822,0.602449922,0.773791966,0.645723866,0.533541428,0.718394321,0.707244106,0.678384443,0.757974321
0.429025499,0.609688286,0.744737593,0.599778555,0.543213737,0.706104498,0.695294892,0.680628272,0.7315482
0.418432226,0.587416458,0.683367922,0.592582264,0.542589821,0.696357599,0.673637017,0.700074794,0.726658818
0.41790267,0.589086781,0.661429054,0.608358849,0.528549119,0.695085988,0.68483933,0.694839192,0.737252565
0.421610245,0.580178095,0.632671242,0.595903686,0.540405734,0.701866705,0.671396464,0.685863874,0.736554114
0.425847427,0.576837504,0.644826475,0.586493334,0.551482052,0.712461345,0.666915584,0.684367988,0.739580819
0.425847427,0.556236223,0.643344234,0.562967012,0.54071759,0.678346585,0.670649638,0.6776365,0.733410866
0.418432226,0.541202758,0.640083042,0.56047609,0.533229353,0.672201843,0.690813937,0.6776365,0.738766011
0.404661144,0.545100309,0.664393715,0.554110105,0.542745734,0.671989738,0.678117897,0.688855647,0.740977908
0.399894142,0.527282936,0.602134658,0.533075092,0.532449275,0.662666413,0.649738439,0.716529544,0.730151286
0.380296789,0.519487668,0.602134658,0.533628565,0.513728573,0.641901005,0.662434479,0.706806283,0.724097677
0.370762837,0.522828537,0.632374681,0.527262775,0.516068573,0.631730237,0.844660068,0.700822737,0.697438856
0.361228939,0.58184864,0.687221969,0.580681017,0.55897029,0.675591894,0.880507635,0.816753927,0.758207196
0.402542447,0.583518963,0.710346961,0.553556632,0.525116966,0.674956237,0.875279929,0.717277487,0.760884682
0.39247894,0.570156045,0.702342099,0.552172657,0.507332254,0.664573682,0.817027585,0.705310396,0.765541363
0.387182224,0.574610277,0.736436436,0.554386939,0.511700414,0.673261053,0.830470451,0.691099476,0.740512158
0.395656801,0.595211559,0.748591669,0.577913068,0.521060882,0.669871001,0.83868561,0.670157068,0.732479539
0.412605901,0.59242765,0.718944471,0.570440137,0.534477434,0.673473157,0.850634824,0.624532536,0.740977908
0.431673752,0.596882049,0.683960747,0.567672381,0.548829977,0.656945541,0.879760959,0.614061331,0.729569179
0.440678095,0.59799569,0.709161044,0.569332996,0.580343301,0.662878518,0.887229068,0.625280479,0.682421477
0.455508552,0.591870913,0.758375274,0.564074152,0.642745798,0.658428621,0.8715458,0.61854899,0.654132679
0.457097429,0.559576813,0.766380166,0.571547278,0.636193567,0.655674227,0.876773581,0.640239342,0.660302632
0.463983128,0.572939954,0.753038779,0.577636428,0.643525876,0.658216835,0.876026904,0.63500374,0.665541246
0.46345352,0.568485499,0.760154284,0.580681017,0.639469558,0.652071774,0.855862531,0.881824981,0.654714786
0.428495891,0.563474363,0.754521227,0.554386939,0.662090416,0.657157307,0.863330715,0.8578908,0.620605267
0.420021368,0.552895354,0.757485918,0.549128096,0.662558653,0.630458943,0.839432287,0.881824981,0.622235057
0.487817875,0.548440955,0.737029262,0.536949988,0.65850235,0.635120606,0.813293531,0.866118175,0.620954498
0.461334823,0.550111445,0.737325793,0.539440882,0.663650572,0.61816912,0.814786884,0.87210172,0.630849794
0.458156804,0.556792904,0.717462229,0.528646556,0.669266812,0.628551654,0.804331396,0.845175767,0.620488911
0.451800924,0.533964395,0.687815031,0.497370689,0.663494659,0.571128901,0.76997748,0.835452506,0.604540193
0.429025499,0.539532268,0.699080878,0.472460585,0.693447827,0.500992283,0.770724455,0.84367988,0.606519215
0.421610245,0.52060131,0.677438571,0.45972881,0.68393143,0.479167348,0.75728159,0.823485415,0.586030171
0.407309397,0.538975531,0.655795998,0.469415996,0.814352665,0.486371787,0.758774943,0.83171279,0.592083768
0.399894142,0.52616935,0.668840854,0.471907112,0.830733367,0.493787992,0.754294211,0.819745699,0.599417935
0.384533972,0.5100223,0.646901749,0.457237695,0.806240278,0.474081963,0.740104296,0.783844428,0.590337622
0.372351768,0.520044572,0.661725348,0.464987654,0.823869061,0.487855037,0.755040888,0.81750187,0.599068703
0.39247894,0.519487668,0.679810169,0.471907112,0.82262098,0.517308112,0.77744559,0.842931937,0.597089681
0.398305265,0.5100223,0.6875185,0.473290893,0.832293289,0.515612928,0.784167023,0.842931937,0.615017421
0.401483072,0.52616935,0.703528017,0.477442595,0.846957907,0.511586922,0.780432968,0.87434555,0.616996443
