NVDA,MSFT,IBM,HPE,GOOG,FLEX,TSLA,SNE,ORCL
0.974963346,0.956269164,0.456318385,0.768748167,0.949029832,0.962242563,0.694608994,0.918044876,0.77839648
0.976272795,0.985884444,0.484243393,0.782802146,0.962727799,0.962242563,0.683835464,0.947813232,0.799554666
0.967735161,0.982563021,0.476599009,0.809632469,0.962055014,0.965675057,0.711598204,0.948915878,0.81069058
0.989733889,0.980902435,0.488455639,0.837740427,0.96829831,0.977116819,0.660174826,0.954061009,0.806236125
0.981615368,0.986991364,0.506240336,0.840295696,0.976883213,0.970251602,0.660174826,0.941933041,0.801781893
1,1,0.526053191,0.817298276,1,0.975972654,0.665976114,1,0.874164915
0.94332709,0.991973401,0.522621038,0.821131179,0.982453724,0.961098398,0.67285455,0.946343148,0.871381006
0.963440211,0.997509078,0.514664563,0.828796986,0.962458749,0.985125973,0.659304685,0.941198018,0.86636987
0.978472659,0.988375338,0.526209119,0.812187738,0.980166321,0.965675057,0.673020332,0.902241826,0.854120315
0.96590198,0.985884444,0.553822286,0.828796986,0.961597402,0.934782609,0.644718894,0.905181848,0.859688188
0.960978436,0.961804648,0.564430602,0.824964083,0.96138223,0.938215217,0.735134412,0.855567811,0.879732733
0.946574497,0.961804648,0.564898605,0.865848384,0.937538784,0.911899199,0.778436164,0.850790119,0.894209515
0.953174094,0.981455881,0.569578839,0.873514191,0.938803539,0.919908581,0.730990708,0.683204606,0.88195996
0.951131359,0.979241626,0.55897029,0.911843224,0.944616492,0.933638444,0.734264267,0.645718536,0.893095874
0.935575094,0.839468687,0.557722442,0.908010321,0.818913361,0.860411899,0.756225971,0.646821035,0.852450047
0.925204285,0.835870431,0.556162286,0.886290535,0.820985589,0.892448398,0.754858478,0.621095163,0.827394311
0.892887089,0.842236443,0.59329185,0.915676127,0.813477208,0.909611098,0.802511069,0.640940844,0.842984457
0.882254374,0.841406136,0.65054611,0.908010321,0.80785282,0.910755263,0.801185055,0.633958007,0.805679388
0.908548052,0.840852468,0.689859746,0.881179998,0.861002802,0.909611098,0.834666251,0.635428091,0.802338575
0.897758202,0.815942586,0.671606812,0.858182578,0.850911033,0.901601716,0.862470469,0.63138546,0.807906392
0.89922478,0.807639153,0.650234035,0.96550387,0.873408912,0.895881007,0.894957089,0.632120484,0.820712852
0.903938843,0.807085458,0.447581832,0.95400516,0.871713482,0.889016018,0.878796669,0.613377449,0.798997762
0.902786523,0.808746294,0.452106154,0.985946021,0.871229096,0.890160297,0.857456621,0.617052495,0.780623707
0.903676938,0.804317731,0.456318385,0.989778925,0.864985636,0.8798627,0.878050832,0.608599757,0.766703885
0.904619705,0.794077071,0.455226232,0.978280215,0.860007094,0.863844279,0.878506581,0.590224161,0.745545699
0.887125482,0.774702451,0.464430538,0.996167097,0.863828465,0.855835126,0.874031435,0.601249482,0.748329607
0.868478944,0.771104416,0.478159165,0.998722366,0.819020947,0.838672769,0.87813366,0.604557089,0.744432057
0.868007558,0.771104416,0.460842456,0.978280215,0.830862021,0.820366133,0.825715835,0.616685056,0.752784062
0.857479541,0.763077817,0.446645842,0.978280215,0.835948312,0.829519451,0.883479075,0.618155141,0.755011289
0.838937775,0.76224751,0.450390069,0.982113118,0.811916466,0.81006865,0.87705626,0.613744887,0.783407616
0.817515211,0.726819913,0.446645842,0.978280215,0.762722379,0.808924485,0.87573037,0.634693067,0.782850934
0.814739184,0.714918445,0.451326076,0.964226236,0.779165194,0.796338787,0.847263147,0.635428091,0.771158116
0.815262916,0.724605659,0.449454079,1,0.767001362,0.791762014,0.8198732,0.626975354,0.777282838
0.807406223,0.721284236,0.424805061,0.966781505,0.782717516,0.771167048,0.818091436,0.627710378,0.752227102
0.805468264,0.704124119,0.433853455,0.948894623,0.756855717,0.789473684,0.811875881,0.604924675,0.737193916
0.804263592,0.703570424,0.433853455,0.984668387,0.743373087,0.786041304,0.817552734,0.596471937,0.741648148
0.788078745,0.687240614,0.447893923,0.989778925,0.690546028,0.791762014,0.835287782,0.595369291,0.728285007
0.788340651,0.687240614,0.437129445,0.96550387,0.680077462,0.772311213,0.834210377,0.614112473,0.731069139
0.768594217,0.719070175,0.425585139,0.909287955,0.700422624,0.781464531,0.859486994,0.633590568,0.741648148
0.763565897,0.713534471,0.427613064,0.849239137,0.71097184,0.791762014,0.923258655,0.632120484,0.731069139
0.805468264,0.733739371,0.437285607,0.828796986,0.708630564,0.791762014,0.954046344,0.643145805,0.731069139
0.814686759,0.747578287,0.414040584,0.810910104,0.682338091,0.805492105,0.958977359,0.639470759,0.734966689
0.841294767,0.739828549,0.416536746,0.817298276,0.664011444,0.790617849,1,0.666299093,0.751113739
0.849203892,0.743980058,0.420748977,0.814743007,0.678247507,0.78489714,0.97849417,0.676221952,0.773942248
0.850251435,0.729034001,0.431981208,0.808354835,0.691218812,0.772311213,0.969502404,0.665196631,0.999443318
0.811282223,0.741212302,0.439001676,0.777691608,0.718076486,0.774599542,0.922222729,0.715913314,1
0.755185392,0.726543079,0.435413377,0.76363763,0.709949194,0.803203661,0.907802595,0.732083766,0.998329677
